Name,Rating,Description,Prep Time,Cook Time,Total Time,Servings,Ingredients,Image URL,prep_mins,cook_mins,total_mins,wait_mins,Category Code,Category Name,Category Description,llm_cuisine
Low-Carb Pecan Pie with Almond Flour Crust,,"A delicious alternative with an almond flour crust for those following a low-carb plan, or just trying to cut back on sugar. Great for Thanksgiving and Christmas.",10 mins,45 mins,55 mins,8,1 ½ cups blanched almond flour | 4 tablespoons melted butter | 1 cup granular sucralose sweetener (such as Splenda®) | 1 cup sugar-free maple-flavored syrup | 3 eggs | 2 tablespoons melted butter | 1 teaspoon vanilla | 1 ½ cups pecans,https://www.allrecipes.com/thmb/Cv2qxO0y3DfEfa63sMhDf58xrW8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9403053-f78c4fb2ed7348488b0f370ae12a5378.jpg,10.0,45.0,55.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait",American
Spinach-Artichoke Garlic Naan Pizza,5.0,"If you're a fan of artichokes and spinach, just wait until you taste this flavor bomb combination on a garlic naan flatbread pizza.",15 mins,10 mins,25 mins,3,"1 (9 inch) garlic naan bread | 2 ½ tablespoons olive oil, divided | ½ teaspoon minced garlic | 2 teaspoons minced fresh parsley | ½ cup shredded mozzarella cheese | 3 tablespoons shredded Parmesan cheese, divided | 1 cup baby spinach, roughly chopped | ¾ cup marinated artichoke hearts, drained and chopped | ½ cup halved and thinly sliced red onions | 2 tablespoons chopped sun-dried tomatoes | salt to taste",https://www.allrecipes.com/thmb/Lv95Ok8LVXnuu4QknfbbVOlbLFI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1660927024Spinach-Artichoke20Naan20Pizza-2000-a6abe3f9ba544fc591ef4fb28ffaa3ee.jpeg,15.0,10.0,25.0,0.0,A,"Quick, No-Wait","Total time ≤ 30 min, no wait",Italian
Blenty of Blintzes,3.9,"It's an easy to make casserole version of cheese blintzes. Great for brunch, lunch or as a side dish to an entree. Excellent served hot with sour cream, homemade jam or fresh berries. This recipe is from a dear family friend -- Sona Silberman.",15 mins,50 mins,1 hr 15 mins,6,"1 ¼ cups all-purpose flour | 1 teaspoon baking powder | ½ cup butter, softened | 3 tablespoons white sugar | 2 eggs | ¾ cup milk | 1 (16 ounce) container cottage cheese, creamed | 2 tablespoons butter, softened | 1 egg | 1 tablespoon sour cream | ½ teaspoon salt",https://www.allrecipes.com/thmb/WrTI5Z_Ak27K_rOZ2cdxbpzATic=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8280879-90d0338d1a214378b7ee2d7fbbfa6dd4.jpg,15.0,50.0,75.0,10.0,D,Short Wait,Wait time 1-30 min,Other
Falafel with Canned Chickpeas,4.9,Falafel made with canned chickpeas — just like the ones you taste in a Greek restaurant! This recipe makes about 12 patties. Serve with hummus or tzatziki sauce.,15 mins,20 mins,35 mins,12,"1 ½ (15 ounce) cans chickpeas, drained | 1 ½ onions, chopped | ¾ cup chopped fresh parsley | 3 cloves garlic, chopped | 2 eggs | 1 tablespoon ground cumin | 1 ½ teaspoons ground coriander | 1 ½ teaspoons salt | 1 ½ teaspoons lemon juice | 1 ½ teaspoons baking powder | 1 pinch ground black pepper, or to taste | 1 pinch cayenne pepper, or to taste | 1 ½ cups bread crumbs | 1 tablespoon olive oil, or as needed",https://www.allrecipes.com/thmb/pPI17rQ8xRFmv16m6ya58TkFBWw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/274884-falafel-with-canned-chickpeas-ddmfs-Beauty-3x4-1-4459b8dafb80454b8209bcf6832c01db.jpg,15.0,20.0,35.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait",Other
The Best Chocolate Souffle Torte,5.0,"This is my favorite favorite chocolate dessert! Since you are only using very few ingredients, make sure they are of the best possible quality - it makes a difference, especially the chocolate you use. Serve with whipped cream for extra decadence.",30 mins,30 mins,2 hrs,8,"¾ cup unsalted butter | 14 ounces high quality dark chocolate (75 to 85% cocoa), chopped | 7 large eggs, separated | ⅞ cup sugar, divided | 1 pinch salt | 1 tablespoon confectioners' sugar for dusting",https://www.allrecipes.com/thmb/amArAedv0741ApvaF1vCOKNlXcI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5690182-daabc68c5fde41db8c86aec082871a0c.jpg,30.0,30.0,120.0,60.0,E,Long Wait,Wait time > 30 min,Other
Garden Tuna Pasta Salad,,A delicious pasta salad that tastes great with all the veggies in it. I substitute canned shrimp in place of canned tuna if I want to change it up a bit.,20 mins,15 mins,2 hrs 35 mins,6,"2 cups uncooked elbow macaroni | 1 (6 ounce) can water-packed tuna, drained and flaked | ⅔ cup chopped yellow bell pepper | ⅔ cup chopped celery | ½ cup shredded carrot | ¼ cup sliced radishes | 2 green onions, chopped | 2 tablespoons minced fresh parsley | ¾ cup mayonnaise | ½ cup ranch dressing | ¼ cup grated Parmesan cheese | 1 ½ teaspoons ground black pepper | ½ teaspoon salt",https://www.allrecipes.com/thmb/B2fM5vWTtLzdTKbCQOwyze__Ir4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3620333-768d887bb6424200afb30f21091858ca.jpg,20.0,15.0,155.0,120.0,E,Long Wait,Wait time > 30 min,American
Pasta Primavera with Italian Turkey Sausage,4.7,A delicious dish created from the fresh bounty of my garden. My whole family has seconds when we have this meal!,20 mins,30 mins,50 mins,8,"1 (16 ounce) package uncooked farfalle pasta | 1 pound hot Italian turkey sausage, cut into 1/2 inch slices | ½ cup olive oil, divided | 4 cloves garlic, diced | ½ onion, diced | 2 small zucchini, chopped | 2 small yellow squash, chopped | 6 roma (plum) tomatoes, chopped | 1 green bell pepper, chopped | 20 leaves fresh basil | 2 teaspoons chicken bouillon granules | ½ teaspoon red pepper flakes | ½ cup grated Parmesan cheese",https://www.allrecipes.com/thmb/UOy1HcUEI-V5Ljioakq5uUGJJAc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/403888-pasta-primavera-with-italian-turkey-sausage-SavedByGrace-4x3-1-001f7fbd990249f1a2bed3d0a65a8254.jpg,20.0,30.0,50.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait",Italian
Karkadeh (Egyptian Hibiscus Iced Tea),4.5,"This traditional Egyptian hibiscus tea is made with loose dried hibiscus flowers, which are left to steep in the tea as it cools so the tea is quite strong. Tea bags are not suitable. We drink this tea rather sweet to break fast during the month of Ramadan. Make sure to sweeten the tea while still warm so that the sugar dissolves easily and then serve chilled.",5 mins,,4 hrs 5 mins,6,"¼ cup dried hibiscus petals | 1 ½ quarts boiling water | 2 tablespoons white sugar, or more to taste",https://www.allrecipes.com/thmb/hQrQ-_bEMf-1seSgAcGHOikBY_s=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5382779-713f9420fc94459a95d185e9b65a0982.jpg,5.0,,245.0,240.0,,,,Other
Rainbow Rotini Salad,4.7,This rotini pasta salad is a standard for potlucks. This recipe makes a nice big salad that tastes great!,20 mins,10 mins,30 mins,8,"1 (16 ounce) package colored rotini pasta | 2 tomatoes, chopped | 1 green bell pepper, chopped | 1 onion, chopped | 1 large cucumber, chopped | 1 cup broccoli florets | 1 cup fresh sliced mushrooms | 1 cup black olives, pitted and sliced | 1 (8 ounce) bottle Italian-style salad dressing",https://www.allrecipes.com/thmb/4ZGnQaNcgjiVP0PlCYiTguh0cXE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4538136-086dd222093f41788302b892c4899b86.jpg,20.0,10.0,30.0,0.0,A,"Quick, No-Wait","Total time ≤ 30 min, no wait",American
Lumpia - Filipino Shrimp and Pork Egg Rolls,4.7,"Lumpia are Filipino-style egg rolls. This recipe stuffs them with pork, shrimp, and veggies. They're small but flavor-packed. Adjust the shrimp to your preference, or omit it entirely. Serve them with sweet and sour dipping sauce. These rolls freeze well — you can make them ahead.",1 hr,30 mins,1 hr 30 mins,75,"1 pound ground pork | 1 cup finely chopped raw shrimp | ½ cup finely chopped onion | ½ cup grated carrots | ¼ cup finely chopped green onions | 3 tablespoons soy sauce | 1 teaspoon monosodium glutamate (MSG) (Optional) | 1 teaspoon salt | ½ teaspoon ground black pepper | 1 (16 ounce) package spring roll wrappers | 1 large egg white, beaten | 1 quart vegetable oil for frying",https://www.allrecipes.com/thmb/9w8h3lI9ke7FHR2foQ4ESfxeTng=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6921371-8f0719a1a0334f618829e62935025a98.jpg,60.0,30.0,90.0,0.0,C,"Long, No-Wait","Total time > 60 min, no wait",Other
Bite-Sized Salmon Tikka,4.6,"Salmon is versatile and highly nutritious, and it can be bought fresh or frozen. This Indian-inspired bite-sized salmon tikka recipe is quick and tasty, ideal as a short snack or a meal eaten with a salad. Serve it with masala chai. You can try this recipe with any white fish, such as cod, haddock, pollock, etc.",10 mins,5 mins,30 mins,2,"2 teaspoons cayenne pepper | ½ teaspoon ground turmeric | ½ teaspoon salt | 8 ounces wild Pacific salmon fillets, cut into 1-inch cubes | ½ cup oil for frying | 2 teaspoons cornstarch",https://www.allrecipes.com/thmb/YTwJQen8G1N7TlqaCJFOTm-zcL4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/392639-77d971f3016d465980065e8a0d431b0f.jpg,10.0,5.0,30.0,15.0,D,Short Wait,Wait time 1-30 min,Indian
Strawberry Chicken Salad,4.8,"This strawberry chicken salad with pecans and an easy poppy seed dressing is one of my favorite lunch salads. Try it on a croissant, in a sandwich, or with crackers. It's delightful!",20 mins,,20 mins,2,"½ cup mayonnaise | 2 teaspoons lemon juice | 1 teaspoon honey | 2 teaspoons poppy seeds | 2 cups chopped, cooked chicken | ¾ cup sliced fresh strawberries | ¼ cup pecan pieces | 1 stalk chopped celery | 2 stalks green onions, chopped | 2 tablespoons chopped fresh parsley | salt and ground black pepper to taste",https://www.allrecipes.com/thmb/WMGSda-gri5KqzFuvepLykCQIUQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/283223-strawberry-chicken-salad-for-sandwiches-VAT-005-4x3-4bee4c3b54e34c4ca9f6396bdd941f40.jpg,20.0,,20.0,0.0,,,,American
Autumn Apple Slab Pie,5.0,"Apple pie with the addition of walnuts, raisins, and warm spices in a large quantity? Yes, please! Tastes like autumn in a pan!",45 mins,55 mins,2 hrs 10 mins,16,"3 ¾ cups all-purpose flour | 1 ½ cups unsalted butter, cut into pieces and frozen | ¾ teaspoon salt | ½ cup ice water | 2 tablespoons ice water, or more if needed | 1 tablespoon apple cider vinegar | 1 ½ teaspoons apple cider vinegar | 10 Paula Red apples - peeled, cored, and cut into 1/8-inch slices | 2 small lemons, juiced | ¼ cup all-purpose flour | ¾ cup dark brown sugar | 1 ½ teaspoons ground cinnamon | 1 teaspoon vanilla extract | ½ teaspoon salt | ½ teaspoon ground cloves | ¼ teaspoon ground nutmeg | ¼ teaspoon ground allspice | ¾ cup raisins | ½ cup chopped walnuts | 1 large egg | 1 tablespoon water",https://www.allrecipes.com/thmb/hmYFDgkbRh2WAP3w4Vi3aeMXnF0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5710079-939b1e7659bc460496f5bc4969a5ccce.jpg,45.0,55.0,130.0,30.0,D,Short Wait,Wait time 1-30 min,American
Puerto Rican Arroz con Pollo,4.6,"This Puerto Rican arroz con pollo — or rice and chicken — recipe is a classic island-cuisine dish filled with the savory flavors of ham, pork, capers, olives, and tomatoes.",30 mins,55 mins,1 hr 25 mins,12,"3 pounds skinless, boneless chicken thighs, chopped into bite-sized pieces | 1 cup apple cider vinegar, or as needed | ¼ cup canola oil | ¼ pound salted pork, chopped into bite-sized pieces | ¼ pound cooked ham, chopped into bite-sized pieces | 1 red bell pepper, diced | 1 green bell pepper, diced | 1 yellow onion, diced | ¼ cup sofrito (such as Goya®) | ¼ cup recaito (such as Goya®) | ¼ teaspoon dried oregano | ¼ teaspoon ground cumin | ¼ teaspoon ground black pepper | 1 tablespoon capers | 6 cloves garlic, diced | 1 (8 ounce) can tomato sauce | ¼ cup rinsed and diced Spanish olives | 3 cups chicken broth | 1 (1.41 ounce) package sazon seasoning with coriander and achiote | 3 cups uncooked white rice",https://www.allrecipes.com/thmb/xx-5vhXZK2BuUcK1-4GlwQ70UwQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6387922-puerto-rican-arroz-con-pollo-SunnyDaysNora-4x3-1-05a5f956f46b44e88628be5dce5cdd9c.jpg,30.0,55.0,85.0,0.0,C,"Long, No-Wait","Total time > 60 min, no wait",Other
Crab and Swiss Omelet,4.4,"A delicious crab omelet recipe made with Dungeness, mushrooms, and Swiss cheese.",10 mins,15 mins,25 mins,2,"2 tablespoons butter | ½ cup sliced fresh mushrooms | 4 eggs, separated | 2 tablespoons milk | 1 cup cooked crabmeat | 1 cup shredded Swiss cheese",https://www.allrecipes.com/thmb/8zaWn2lMG_05V5bz34jJ8uXne44=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4577704-crab-and-swiss-omelet-Bren-4x3-1-6f48e98310cb43b6b36f1b79b3c66b06.jpg,10.0,15.0,25.0,0.0,A,"Quick, No-Wait","Total time ≤ 30 min, no wait",American
Orange Almond Biscotti,4.6,This orange almond biscotti recipe is very low in fat but delicious. You can substitute almonds with 3/4 cup cranberries.,20 mins,30 mins,50 mins,12,"2 ¼ cups all-purpose flour | 1 ¼ cups white sugar | 2 teaspoons baking powder | 1 pinch salt | ½ cup sliced almonds | 1 tablespoon orange zest | 3 egg, beaten | 1 tablespoon vegetable oil | ¼ teaspoon almond extract",https://www.allrecipes.com/thmb/PfgEioG-6mCWTVQMe2-VkCEADzs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1351865-4f3090fb6df741868798e09cc6dca1b3.jpg,20.0,30.0,50.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait",Italian
Soft Peanut Butter Cookies,4.5,"These easy peanut butter cookies stay soft, have good flavor, and aren't too sweet. You won't make another recipe after this one!",15 mins,10 mins,40 mins,12,"½ cup margarine, softened | ½ cup peanut butter | ½ cup white sugar | ½ cup packed brown sugar | 1 large egg | ½ teaspoon vanilla extract | 1 ¾ cups all-purpose flour | ¾ teaspoon baking soda | ¼ teaspoon salt",https://www.allrecipes.com/thmb/DvHjv89dRHUjWdD7XmM1tIuQa70=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7935058-7fe468ba60154d4fa2922ed6b3b34682.jpg,15.0,10.0,40.0,15.0,D,Short Wait,Wait time 1-30 min,American
Easy Arroz con Gandules,3.8,Latin rice and pigeon pea main dish can be made with other peas or beans.,,,,12,"2 green bell peppers, diced | 1 onion, chopped | 6 cloves garlic, minced | 1 bunch cilantro, finely chopped | 3 tablespoons olive oil | 1 (15 ounce) can tomato sauce | 1 (.25 ounce) package Spanish seasoning | 3 cups uncooked brown rice | 2 (15 ounce) cans pigeon peas, drained | 6 cups boiling water",https://www.allrecipes.com/thmb/v-hsZANBfDdTXWtr1KzHHR0DTfg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1169444-754d270d49e244e8b2864693e8584e18.jpg,,,,,,,,Other
Sous Vide Dill Pickles,5.0,"These sous vide dill pickles are deliciously crunchy and will last at least a year. People are always asking me when I’m going to make them again. I’d say this recipe makes enough to fill a gallon-sized jar; however, I alter it to accommodate the number of fresh cucumbers I have.",10 mins,2 hrs 30 mins,1 day 3 hrs 40 mins,20,12 pounds pickling cucumbers | 6 cloves garlic | 6 heads (flowers) dill | 4 cups water | 2 cups white vinegar | ½ cup kosher salt | ½ teaspoon alum powder,https://www.allrecipes.com/thmb/tNJveXqVMIm9xXQwzn2ib11Keos=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2427581-6033d5927c9444b79c7d0f088678c611.jpg,10.0,150.0,220.0,60.0,E,Long Wait,Wait time > 30 min,American
Fresh Lime Curd,4.8,"This lime curd recipe is a twist on lemon curd. When life gives you a bunch of limes, make lime curd! Use it as a cake filling, or any other way you desire.",10 mins,30 mins,40 mins,8,"1 cup sugar | ¾ cup fresh lime juice | ¼ cup butter | 1 tablespoon lime zest | 2 large eggs, beaten",https://www.allrecipes.com/thmb/CJQbQkPIs2KTgS6J-FTg1l2WQ_Q=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3720286-b4cb85bf242a40c484e733d73d642825.jpg,10.0,30.0,40.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait",American
Honey Walnut Shrimp,4.7,Honey walnut shrimp is a delicious Hong Kong-style dish of crispy battered shrimp topped with a creamy sauce and sugar-coated walnuts.,15 mins,20 mins,35 mins,4,"1 cup water | ⅔ cup white sugar | ½ cup walnuts | 4 large egg whites | ⅔ cup mochiko (glutinous rice flour) | 1 cup vegetable oil for frying | 1 pound large shrimp, peeled and deveined | ¼ cup mayonnaise | 2 tablespoons honey | 1 tablespoon canned sweetened condensed milk",,15.0,20.0,35.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait",Chinese
Homemade Phyllo (or Filo) Dough,4.7,"Making your own phyllo dough is way more fun than buying it frozen from the store. I'm no expert at making phyllo dough, but the good news is, despite that, I still managed to achieve some fairly excellent results, and suspect you will as well.",30 mins,,2 hrs 30 mins,8,"2 cups all-purpose flour, plus more for kneading | 5 teaspoons olive oil | ½ teaspoon fine salt | ¾ cup warm water (110 degrees F (43 degrees C)) | 2 teaspoons white wine vinegar | ½ cup cornstarch | 2 tablespoons all-purpose flour",,30.0,,150.0,120.0,,,,Other
Stef's Super Cheesy Garlic Bread,4.7,This super cheesy garlic bread is not your typical garlic bread! It's extra cheesy and very filling.,10 mins,10 mins,20 mins,8,"½ cup butter, softened | ¾ cup mayonnaise | 1 bunch green onions, chopped | 3 cloves garlic, minced | 1 ¼ cups Parmesan cheese | 1 ½ cups shredded Monterey Jack cheese | 1 (1 pound) loaf French bread, halved lengthwise",https://www.allrecipes.com/thmb/A2dkxFSFoiVY5G2Vk3to3tDViJY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2578137-d4d2c3d503d744c58912e303b9c6fb19.jpg,10.0,10.0,20.0,0.0,A,"Quick, No-Wait","Total time ≤ 30 min, no wait",American
Orange Scones with Orange Glaze,4.7,"Found this recipe online and tweaked it a little to make it ""more orangey."" It's very easy and so good! The scones come out with a wonderful texture.",15 mins,10 mins,30 mins,8,"cooking spray | 1 ⅓ cups all-purpose flour | 2 tablespoons white sugar, divided | ½ teaspoon baking soda | ¼ teaspoon baking powder | ¼ teaspoon salt | ½ stick cold unsalted butter, cubed | 2 ½ tablespoons orange zest | 6 tablespoons orange juice | 1 medium egg | 1 ½ tablespoons white vinegar | 1 tablespoon milk, or as needed | ½ cup confectioners' sugar | 2 tablespoons confectioners' sugar | 4 teaspoons orange juice | 1 tablespoon orange zest",https://www.allrecipes.com/thmb/MBCLGgRfXx_rQXrO2crAikMHN80=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8722214-af58bdd5c6504fce9e9e5c3c7991dfb5.jpg,15.0,10.0,30.0,5.0,D,Short Wait,Wait time 1-30 min,Other
Lemon-Blueberry Blondie Bars,5.0,"Summer is a time to simply take it easy, and that's so much of what I love about this buttery blondie recipe. Not only does it capitalize on one of the most iconically refreshing summer flavor romances of all (lemon + blueberry forever), but it couldn't be simpler to whip up at a moment's notice. You may very well have every ingredient called for in your kitchen right now, and all you need is 25 hands-on minutes to pull these scrumptious lemon-blueberry bars together. P.S. If you happen to be a real citrus fanatic, consider doubling the glaze recipe for a more generous drizzle.",25 mins,40 mins,1 hr 20 mins,9,"¾ cup unsalted butter | 2 ounces white chocolate, finely chopped | 1 cup packed light brown sugar | 2 tablespoons fresh lemon juice | 1 teaspoon lemon zest | ½ teaspoon kosher salt | 1 large egg | 1 large egg yolk | 1 teaspoon vanilla extract | 2 cups all-purpose flour | 1 cup fresh blueberries | ⅔ cup powdered sugar, sifted | 4 teaspoons fresh lemon juice",https://www.allrecipes.com/thmb/jAnKiPhdptMB1vKwcvRlnQN_u64=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9273966-a3b49f9112f94996948e562c28fc99ab.jpg,25.0,40.0,80.0,15.0,D,Short Wait,Wait time 1-30 min,American
Reuben Casserole,4.6,"This tasty Reuben casserole with layers of sauerkraut, corned beef, Swiss cheese, rye bread crumbs, and Russian-style salad dressing is like a baked deli sandwich in a dish.",15 mins,30 mins,45 mins,6,"6 slices rye bread, cubed | 1 (16 ounce) can sauerkraut, drained and rinsed | 1 pound deli sliced corned beef, cut into strips | ¾ cup Russian-style salad dressing | cooking spray | 2 cups shredded Swiss cheese",https://www.allrecipes.com/thmb/z6fTVbnOakKPobVnP_oOpouRIYY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/25407-reuben-casserole-DDMFS-4x3-1-2ab7536cb1074a9ab49e829ffd5088b4.jpg,15.0,30.0,45.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait",American
Butternut Squash Gnocchi with Garlic-Sage Butter over Wilted Spinach,3.0,"A delicious dish for fall! Pillowy gnocchi made with a combination of butternut squash and potato tossed in a garlic- sage butter and served over a bed of wilted fresh spinach. Top it all off with a sprinkle of freshly grated Parmigiano-Reggiano cheese, and you have yourself an elegant meal!",35 mins,35 mins,1 hr 20 mins,4,"1 cup water | 1 pound butternut squash, peeled and cut into 1/2-inch cubes | ½ pound Yukon Gold potatoes, peeled and cut into 1-inch cubes | 1 large egg | 2 teaspoons salt | 2 cups all-purpose flour, plus more as needed | 2 bunches fresh spinach, rinsed and chopped | 4 tablespoons salted butter | 2 tablespoons extra-virgin olive oil | ¼ cup chopped fresh sage | 4 cloves garlic, minced | ½ teaspoon crushed red pepper | ¼ cup freshly grated Parmigiano-Reggiano cheese",https://www.allrecipes.com/thmb/E_t4vVX45C7tHURvWwxvX4foVEM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8727424_Butternut-Squash-Gnocchi-with-Garlic-Sage-Butter-over-Wilted-Spinach-4x3-1-2000-08ad4634a4ad467c896ee8f5b4b51a1f.jpg,35.0,35.0,80.0,10.0,D,Short Wait,Wait time 1-30 min,Italian
Pumpkin Seed Granola,4.8,"This pumpkin seed granola is sugarless, sweetened only with sugar-free maple-flavored syrup. A great alternative for special diets!",10 mins,30 mins,40 mins,6,"1 cup raw pumpkin seeds | 1 ½ cups rolled oats | ½ cup pumpkin puree | ½ cup sugar-free maple-flavored syrup | ¼ cup shredded coconut | 2 tablespoons unsalted butter, melted | ½ teaspoon pumpkin pie spice | ½ teaspoon ground cinnamon | ¼ teaspoon salt",https://www.allrecipes.com/thmb/ffqXQHv5HJT5m-hlgcCGXWVNYIM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5719442-9e90c20a4b934d6b91f533226dd66c5b.jpg,10.0,30.0,40.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait",American
Quiche,4.8,"This easy quiche is one of my all-time favorites! This recipe can be made-ahead, frozen, and baked later. My mother, who got this recipe from her friend Betty, used to make mass quantities and take them out whenever she needed one for an easy meal. She made it with light cream instead of milk.",20 mins,1 hr,1 hr 20 mins,8,"1 ½ cups shredded Swiss cheese | 4 teaspoons all-purpose flour | 1 (9 inch) unbaked pie crust, frozen | ½ cup cooked ham, diced | 3 large eggs | 1 cup milk | ¼ teaspoon salt | ¼ teaspoon ground dry mustard | 2 tablespoons chopped fresh parsley | 2 tablespoons chopped pimento peppers",,20.0,60.0,80.0,0.0,C,"Long, No-Wait","Total time > 60 min, no wait",Other
Fruit and Nut Granola (Chrissie's Granola),4.5,"Originally given to me at work as a 'Hey! I made this, try it, it's vegan (I'm not vegan), you'll love it!' and I did; I really did love it. I've made it several times now and a modified version for my husband (omitted the chocolate and used deluxe mixed nuts). I have to stash some or get none in my house.",15 mins,45 mins,1 hr 20 mins,12,"3 cups rolled oats | 1 cup almonds | 1 tablespoon ground cinnamon | 1 tablespoon cocoa powder | ½ teaspoon salt | ⅓ cup packed brown sugar | 2 cups dried fruit (such as cranberries, pomegranate, cherries, or blueberries) | 1 cup pure maple syrup | 1 tablespoon vanilla extract | ½ cup dark chocolate chips",https://www.allrecipes.com/thmb/LZ22ypfOXfl6Ec4vjnVTu2NJFBQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6491747-f73764b0545f424bacf70ee427736f2f.jpg,15.0,45.0,80.0,20.0,D,Short Wait,Wait time 1-30 min,American
Doro Wat: Ethiopian Chicken Dish,4.8,"I love Ethiopian food but had difficulty finding authentic recipes online. I ultimately found 3 or 4 recipes and altered them all to incorporate them together in an attempt to capture the flavors in this doro wat: Ethopian chicken dish. Typically served with injera and some side vegetable dish. I prefer Atkilt, a cabbage and potato dish, but there are many delicious options.",10 mins,1 hr 30 mins,1 hr 40 mins,4,"1 cup unsalted butter, divided | 1 onion, chopped | 2 ½ cups water, divided | 1 (6 ounce) can tomato paste | ¾ cup berbere seasoning | 1 teaspoon chopped garlic | ½ teaspoon ground ginger | 4 skinless, boneless chicken breasts, cubed | ⅓ cup sweet white wine | ½ teaspoon ground cardamom | ½ teaspoon freshly ground black pepper | 4 hard-cooked eggs",https://www.allrecipes.com/thmb/dURmKkzYTJgyc0iusHUdAlDLoJ4=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3428959-1b1bd7a938fc4b3e81bf8a22a0f322cf.jpg,10.0,90.0,100.0,0.0,C,"Long, No-Wait","Total time > 60 min, no wait",Other
Snert (Dutch Split Pea Soup),5.0,"This is a thick, hearty pea and ham soup that is traditional in the Netherlands. If you prefer a slightly thinner soup, feel free to add more water.",30 mins,2 hrs 46 mins,3 hrs 26 mins,8,"1 pound bone-in gammon (cured pork leg) | 2 (14 ounce) bags dried split peas | 8 ounces pork belly | 1 small celeriac (celery root), peeled and chopped | 2 leeks, sliced into 1/2-inch rings | 2 small onions, chopped | 1 carrot, chopped | 1 smoked sausage | 1 bunch fresh celery leaves, chopped | salt and ground black pepper to taste",https://www.allrecipes.com/thmb/oE4ERuqy4ZYdqUQ5my_hkU-FWD8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Snert-Dutch-Split-Pea-SoupTDWARREN-4x3-1-2000-4ba07368cfc34fb2bbee6b390a991375.jpg,30.0,166.0,206.0,10.0,D,Short Wait,Wait time 1-30 min,Other
Linguine with Clam Sauce,4.5,"This linguine with clam sauce is an easy, inexpensive meal. Try the clam sauce over any pasta; lemon-pepper linguine is especially tasty. You can stretch the sauce for larger portions by adding 1/2 cup of chicken broth.",5 mins,15 mins,20 mins,4,"1 (16 ounce) package linguini pasta | 2 (6.5 ounce) cans minced clams, with juice | ½ cup vegetable oil | ¼ cup butter | 1 tablespoon dried parsley | ¼ tablespoon dried basil | ½ teaspoon minced garlic | ground black pepper to taste",,5.0,15.0,20.0,0.0,A,"Quick, No-Wait","Total time ≤ 30 min, no wait",Italian
Spinach Pomegranate Salad,4.7,"A very quick and nutritious spinach and pomegranate salad with red onions, walnuts, and feta cheese.",10 mins,,10 mins,4,"1 (10 ounce) bag baby spinach leaves, rinsed and drained | ½ cup walnut pieces | ½ cup crumbled feta | ¼ medium red onion, sliced very thin | ¼ cup alfalfa sprouts (Optional) | ½ cup pomegranate seeds, or to taste | 4 tablespoons balsamic vinaigrette",,10.0,,10.0,0.0,,,,American
